p1	p2	rg	se	p	FDR
rectum	BCAC_Onco_iCOGs_GWAS	0.04562	0.09811	0.642	0.8415523809523808
rectum	BCAC_Onco_iCOGs_HER2	0.2222	0.2663	0.4041	0.7633744186046512
rectum	BCAC_Onco_iCOGs_luminalA	0.07446	0.1071	0.4868	0.8004597938144331
rectum	BCAC_Onco_iCOGs_luminalB	-0.1643	0.18899999999999997	0.3847	0.7575265432098766
rectum	BCAC_Onco_iCOGs_luminalBHER2Neg	0.2068	0.1658	0.2122	0.6061
rectum	BCAC_Onco_iCOGs_TripleN	-0.03188	0.17	0.8512	0.9273708474576271
rectum	bladder	-0.2629	0.3079	0.39299999999999996	0.7633744186046512
rectum	brca1_bc	-0.1995	0.2263	0.37799999999999995	0.7575265432098766
rectum	brca1_oc	0.2178	0.3194	0.4953	0.8061260204081633
rectum	brca2_bc	-0.09983	0.2543	0.6947	0.8523434615384615
rectum	brca2_oc	0.1735	0.7854	0.8251	0.9107505190311419
rectum	breast	0.07356	0.1215	0.5447	0.8196976958525345
rectum	cervix	0.2544	0.2231	0.254	0.6430634920634921
rectum	CIMBA_BCAC_TN	-0.08095	0.1374	0.5557	0.8196976958525345
rectum	colon	1.1159999999999999	0.3213	0.0005164	0.00411829
rectum	endom	0.1765	0.2295	0.4419	0.778818232044199
rectum	gastricesoph	1.234	1.3880000000000001	0.3743	0.7575265432098766
rectum	kidney	0.6305	0.4738	0.1832	0.5907407407407408
rectum	leukemia	-0.0639	0.35600000000000004	0.8576	0.9273708474576271
rectum	lung	-0.002334	0.2205	0.9916	0.9963
rectum	melanoma	0.1418	0.1699	0.4038	0.7633744186046512
rectum	NHL	0.09973	0.2987	0.7384	0.8789164179104476
rectum	oralpharynx				
rectum	ovary				
rectum	pancreas	0.1486	0.6383	0.8159	0.9037225694444444
rectum	prostate	-0.001441	0.1417	0.9919	0.9963
rectum	thyroid	0.5006	0.4275	0.2416	0.634172
leukemia	BCAC_Onco_iCOGs_GWAS	-0.01348	0.1485	0.9277	0.9727415032679739
leukemia	BCAC_Onco_iCOGs_HER2	0.5906	0.4782	0.2169	0.6072095652173913
leukemia	BCAC_Onco_iCOGs_luminalA	0.005625	0.146	0.9693	0.9914479233226837
leukemia	BCAC_Onco_iCOGs_luminalB	-0.030719999999999997	0.2569	0.9048	0.9621040000000001
leukemia	BCAC_Onco_iCOGs_luminalBHER2Neg	-0.272	0.2638	0.3025	0.6992572463768116
leukemia	BCAC_Onco_iCOGs_TripleN	-0.2634	0.319	0.409	0.7633744186046512
leukemia	bladder	0.6519	0.4904	0.1837	0.5907407407407408
leukemia	brca1_bc	0.2726	0.3172	0.3901	0.7633744186046512
leukemia	brca1_oc	0.1866	0.3546	0.5987	0.8376548245614036
leukemia	brca2_bc	-0.0883	0.3541	0.8031	0.903573076923077
leukemia	brca2_oc	0.03302	0.9667	0.9728	0.9914479233226837
leukemia	breast	0.1247	0.1713	0.4668	0.7878793650793651
leukemia	cervix	0.1107	0.3001	0.7123	0.8639684410646389
leukemia	CIMBA_BCAC_TN	-0.08462	0.1914	0.6584	0.8415523809523808
leukemia	colon	0.6013	0.365	0.09951	0.3824540963855421
leukemia	endom	0.3299	0.3534	0.3506	0.7575265432098766
leukemia	gastricesoph	-0.9613	1.392	0.4898	0.8012625641025641
leukemia	kidney	-0.8214	0.7071	0.2454	0.634172
leukemia	lung	-0.1685	0.2918	0.5637	0.821135
leukemia	melanoma	0.00218	0.2211	0.9921	0.9963
leukemia	NHL	0.2704	0.4282	0.5278	0.8196976958525345
leukemia	oralpharynx				
leukemia	ovary				
leukemia	pancreas	-1.3230000000000002	1.611	0.4115	0.7633744186046512
leukemia	prostate	0.1209	0.1731	0.4848	0.8004597938144331
leukemia	rectum	-0.0639	0.35600000000000004	0.8576	0.9273708474576271
leukemia	thyroid	-0.1828	0.4463	0.6821	0.8512848837209303
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_GWAS	0.6819	0.04987	1.4529999999999998e-42	4.635069999999999e-41
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_HER2	0.9595	0.2332	3.876e-05	0.0003341740540540541
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalA	0.5364	0.06352999999999999	3.091e-17	6.16268125e-16
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalB	0.7325	0.092	1.692e-15	2.9986e-14
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalBHER2Neg	0.5314	0.09419	1.6819999999999998e-08	2.2356583333333328e-07
BCAC_Onco_iCOGs_TripleN	bladder	0.07128	0.1801	0.6923	0.8523434615384615
BCAC_Onco_iCOGs_TripleN	brca1_bc	0.89	0.1874	2.041e-06	2.325282142857143e-05
BCAC_Onco_iCOGs_TripleN	brca1_oc	-0.1075	0.2356	0.648	0.8415523809523808
BCAC_Onco_iCOGs_TripleN	brca2_bc	0.1885	0.1578	0.2325	0.6315118644067796
BCAC_Onco_iCOGs_TripleN	brca2_oc				
BCAC_Onco_iCOGs_TripleN	breast	0.5618	0.08061	3.1860000000000004e-12	5.081670000000001e-11
BCAC_Onco_iCOGs_TripleN	cervix	0.1788	0.1393	0.1991	0.5907407407407408
BCAC_Onco_iCOGs_TripleN	CIMBA_BCAC_TN	1.137	0.041089999999999995	1.9779999999999994e-168	3.154909999999999e-166
BCAC_Onco_iCOGs_TripleN	colon	-0.2452	0.138	0.07561	0.31736302631578944
BCAC_Onco_iCOGs_TripleN	endom	-0.09386	0.1526	0.5384	0.8196976958525345
BCAC_Onco_iCOGs_TripleN	gastricesoph				
BCAC_Onco_iCOGs_TripleN	kidney	0.3238	0.2493	0.1941	0.5907407407407408
BCAC_Onco_iCOGs_TripleN	leukemia	-0.2634	0.319	0.409	0.7633744186046512
BCAC_Onco_iCOGs_TripleN	lung	-0.1075	0.1381	0.4362	0.7773620111731843
BCAC_Onco_iCOGs_TripleN	melanoma	0.2048	0.1101	0.06289	0.28256211267605635
BCAC_Onco_iCOGs_TripleN	NHL	-0.044660000000000005	0.1858	0.8101	0.903573076923077
BCAC_Onco_iCOGs_TripleN	oralpharynx	0.016069999999999997	0.4452	0.9712	0.9914479233226837
BCAC_Onco_iCOGs_TripleN	ovary				
BCAC_Onco_iCOGs_TripleN	pancreas	-0.2828	0.6124	0.6442	0.8415523809523808
BCAC_Onco_iCOGs_TripleN	prostate	0.04792	0.0924	0.6041	0.8405857142857143
BCAC_Onco_iCOGs_TripleN	rectum	-0.03188	0.17	0.8512	0.9273708474576271
BCAC_Onco_iCOGs_TripleN	thyroid	0.4082	0.2361	0.08382	0.33802037500000004
kidney	BCAC_Onco_iCOGs_GWAS	0.16	0.1468	0.2758	0.6820170542635658
kidney	BCAC_Onco_iCOGs_HER2	0.04038	0.3648	0.9119	0.9664322259136213
kidney	BCAC_Onco_iCOGs_luminalA	0.263	0.1753	0.1335	0.483876404494382
kidney	BCAC_Onco_iCOGs_luminalB	0.1011	0.2205	0.6465	0.8415523809523808
kidney	BCAC_Onco_iCOGs_luminalBHER2Neg	-0.06348999999999999	0.2251	0.7779	0.9003519572953737
